time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
49,ga_timing_plan,1726,1091,635,172.6,15879,1067820.0,34,3.4,2992,91740.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
50,ga_timing_plan,1991,1246,745,199.1,16191,1187280.0,20,2.0,3066,92940.0,1,7,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
51,ga_timing_plan,2189,1364,825,218.9,16532,1318620.0,39,3.9,3100,95280.0,1,3,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
52,ga_timing_plan,2399,1482,917,239.9,16845,1462560.0,24,2.4,3186,96720.0,1,7,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
53,ga_timing_plan,2598,1606,992,259.8,17179,1618440.0,36,3.6,3231,98880.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
54,ga_timing_plan,2786,1719,1067,278.6,17482,1785600.0,19,1.9,3310,100020.0,1,8,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
55,ga_timing_plan,3036,1882,1154,303.6,17832,1967760.0,38,3.8,3341,102300.0,1,2,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
56,ga_timing_plan,3259,2009,1250,325.9,18136,2163300.0,13,1.3,3428,103080.0,1,8,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
57,ga_timing_plan,3434,2098,1336,343.4,18486,2369340.0,56,5.6,3452,106440.0,1,2,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
58,ga_timing_plan,3667,2229,1438,366.7,18789,2589360.0,13,1.3,3559,107220.0,1,8,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
59,ga_timing_plan,3871,2373,1498,387.1,19123,2821620.0,41,4.1,3595,109680.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
60,ga_timing_plan,4108,2525,1583,410.8,19442,3068100.0,32,3.2,3664,111600.0,1,6,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
61,ga_timing_plan,4303,2643,1660,430.3,19776,3326280.0,43,4.3,3719,114180.0,1,4,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
62,ga_timing_plan,4554,2803,1751,455.4,20089,3599520.0,22,2.2,3808,115500.0,1,7,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
63,ga_timing_plan,4759,2937,1822,475.9,20430,3885060.0,47,4.7,3851,118320.0,1,3,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
64,ga_timing_plan,4984,3077,1907,498.4,20734,4184100.0,9,0.9,3947,118860.0,1,8,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
65,ga_timing_plan,5120,3167,1953,512.0,21083,4491300.0,33,3.3,3971,120840.0,1,2,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
66,ga_timing_plan,5338,3288,2050,533.8,21380,4811580.0,7,0.7,4062,121260.0,1,9,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
67,ga_timing_plan,5508,3397,2111,550.8,21736,5142060.0,46,4.6,4076,124020.0,1,1,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
68,ga_timing_plan,5724,3516,2208,572.4,22034,5485500.0,5,0.5,4189,124320.0,1,9,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
69,ga_timing_plan,5878,3613,2265,587.8,22390,5838180.0,53,5.3,4198,127500.0,1,1,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
70,ga_timing_plan,6154,3772,2382,615.4,22687,6207420.0,9,0.9,4301,128040.0,1,9,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
71,ga_timing_plan,6334,3890,2444,633.4,23027,6587460.0,59,5.9,4336,131580.0,1,3,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
72,ga_timing_plan,6593,4066,2527,659.3,23340,6983040.0,23,2.3,4430,132960.0,1,7,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,1200,180
73,ga_timing_plan,6779,4180,2599,677.9,23667,7389780.0,32,3.2,4492,134880.0,1,5,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
74,ga_timing_plan,6997,4312,2685,699.7,23993,7809600.0,27,2.7,4546,136500.0,1,5,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
75,ga_timing_plan,7202,4451,2751,720.2,24320,8241720.0,27,2.7,4601,138120.0,1,5,27.353086466396565,1,22.646913533603442,0,0,-1,0.0,0,0,180
76,ga_timing_plan,7253,4511,2742,725.3,24644,8676900.0,24,2.4,4658,139560.0,1,5,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
77,ga_timing_plan,7293,4551,2742,729.3,24964,9114480.0,16,1.6,4717,140520.0,1,6,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
78,ga_timing_plan,7332,4585,2747,733.2,25294,9554400.0,29,2.9,4758,142260.0,1,4,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
79,ga_timing_plan,7370,4618,2752,737.0,25614,9996600.0,21,2.1,4817,143520.0,1,6,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
80,ga_timing_plan,7410,4651,2759,741.0,25944,10441200.0,39,3.9,4867,145860.0,1,4,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
81,ga_timing_plan,7354,4627,2727,735.4,26327,10882440.0,33,3.3,4938,147840.0,1,6,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
82,ga_timing_plan,7265,4584,2681,726.5,26717,11318340.0,24,2.4,5001,149280.0,1,5,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
83,ga_timing_plan,7214,4573,2641,721.4,27099,11751180.0,36,3.6,5063,151440.0,1,6,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
84,ga_timing_plan,7105,4537,2568,710.5,27497,12177480.0,42,4.2,5121,153960.0,1,4,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
85,ga_timing_plan,7027,4498,2529,702.7,27871,12599100.0,12,1.2,5198,154680.0,1,7,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
86,ga_timing_plan,6919,4450,2469,691.9,28278,13014240.0,37,3.7,5228,156900.0,1,3,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
87,ga_timing_plan,6855,4445,2410,685.5,28653,13425540.0,19,1.9,5300,158040.0,1,7,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
88,ga_timing_plan,6760,4403,2357,676.0,29038,13831140.0,46,4.6,5344,160800.0,1,4,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,0,180
89,ga_timing_plan,6695,4382,2313,669.5,29408,14232840.0,33,3.3,5423,162780.0,1,6,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
90,ga_timing_plan,6622,4372,2250,662.2,29786,14630160.0,36,3.6,5492,164940.0,1,5,25.13184353761727,1,24.86815646238273,0,0,-1,0.0,0,1200,180
91,ga_timing_plan,6553,4336,2217,655.3,30167,15023340.0,16,1.6,5562,165900.0,1,7,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
92,ga_timing_plan,6447,4278,2169,644.7,30584,15410160.0,35,3.5,5600,168000.0,1,3,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
93,ga_timing_plan,6358,4220,2138,635.8,30965,15791640.0,20,2.0,5685,169200.0,1,7,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
94,ga_timing_plan,6243,4163,2080,624.3,31369,16166220.0,45,4.5,5722,171900.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
95,ga_timing_plan,6143,4104,2039,614.3,31758,16534800.0,24,2.4,5792,173340.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
96,ga_timing_plan,6053,4057,1996,605.3,32148,16897980.0,30,3.0,5853,175140.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
97,ga_timing_plan,5961,4012,1949,596.1,32547,17255640.0,33,3.3,5914,177120.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
98,ga_timing_plan,5887,3972,1915,588.7,32936,17608860.0,28,2.8,5984,178800.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
99,ga_timing_plan,5786,3920,1866,578.6,33335,17956020.0,33,3.3,6047,180780.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
100,ga_timing_plan,5692,3863,1829,569.2,33725,18297540.0,28,2.8,6116,182460.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
101,ga_timing_plan,5592,3808,1784,559.2,34131,18633060.0,40,4.0,6163,184860.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
102,ga_timing_plan,5493,3750,1743,549.3,34521,18962640.0,25,2.5,6233,186360.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
103,ga_timing_plan,5422,3709,1713,542.2,34919,19287960.0,26,2.6,6290,187920.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
104,ga_timing_plan,5345,3656,1689,534.5,35320,19608660.0,38,3.8,6343,190200.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
105,ga_timing_plan,5272,3610,1662,527.2,35721,19924980.0,43,4.3,6406,192780.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
106,ga_timing_plan,5210,3566,1644,521.0,36104,20237580.0,25,2.5,6494,194280.0,1,7,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
107,ga_timing_plan,5139,3509,1630,513.9,36510,20545920.0,49,4.9,6546,197220.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
108,ga_timing_plan,5102,3482,1620,510.2,36898,20852040.0,23,2.3,6624,198600.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
109,ga_timing_plan,5037,3428,1609,503.7,37308,21154260.0,42,4.2,6666,201120.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
110,ga_timing_plan,4962,3378,1584,496.2,37700,21451980.0,24,2.4,6749,202560.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
111,ga_timing_plan,4918,3342,1576,491.8,38092,21747060.0,22,2.2,6806,203880.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
112,ga_timing_plan,4831,3272,1559,483.1,38500,22036920.0,29,2.9,6844,205620.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
113,ga_timing_plan,4756,3222,1534,475.6,38891,22322280.0,21,2.1,6910,206880.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
114,ga_timing_plan,4687,3165,1522,468.7,39299,22603500.0,35,3.5,6954,208980.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
115,ga_timing_plan,4602,3107,1495,460.2,39690,22879620.0,20,2.0,7023,210180.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
116,ga_timing_plan,4517,3048,1469,451.7,40096,23150640.0,40,4.0,7060,212580.0,1,4,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
117,ga_timing_plan,4466,3024,1442,446.6,40484,23418600.0,28,2.8,7135,214260.0,1,6,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
118,ga_timing_plan,4407,2957,1450,440.7,40881,23683020.0,27,2.7,7190,215880.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,0,180
119,ga_timing_plan,4342,2916,1426,434.2,41281,23943540.0,25,2.5,7251,217380.0,1,5,26.907092006330423,1,23.092907993669574,0,0,-1,0.0,0,1200,180
