time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,avg_ew_green
59,fixed_calibrated,3684,1999,1685,368.4,19310,2628060.0,711,71.1,2925,1494180.0,1,5,29.084070973498303,20.915929026501697
60,fixed_calibrated,3913,2130,1783,391.3,19637,2862840.0,711,71.1,2985,1536840.0,1,4,29.084070973498303,20.915929026501697
61,fixed_calibrated,4096,2233,1863,409.6,19983,3108600.0,762,76.2,3000,1582560.0,1,1,29.084070973498303,20.915929026501697
62,fixed_calibrated,4341,2375,1966,434.1,20302,3369060.0,755,75.5,3075,1627860.0,1,5,29.084070973498303,20.915929026501697
63,fixed_calibrated,4560,2507,2053,456.0,20629,3642660.0,763,76.3,3135,1673640.0,1,4,29.084070973498303,20.915929026501697
64,fixed_calibrated,4743,2608,2135,474.3,20975,3927240.0,806,80.6,3150,1722000.0,1,1,29.084070973498303,20.915929026501697
65,fixed_calibrated,4909,2701,2208,490.9,21294,4221780.0,779,77.9,3225,1768740.0,1,5,29.084070973498303,20.915929026501697
66,fixed_calibrated,5097,2789,2308,509.7,21621,4527600.0,784,78.4,3285,1815780.0,1,4,29.084070973498303,20.915929026501697
67,fixed_calibrated,5277,2888,2389,527.7,21967,4844220.0,822,82.2,3300,1865100.0,1,1,29.084070973498303,20.915929026501697
68,fixed_calibrated,5472,2982,2490,547.2,22286,5172540.0,819,81.9,3375,1914240.0,1,5,29.084070973498303,20.915929026501697
69,fixed_calibrated,5655,3080,2575,565.5,22613,5511840.0,816,81.6,3435,1963200.0,1,4,29.084070973498303,20.915929026501697
70,fixed_calibrated,5882,3196,2686,588.2,22959,5864760.0,860,86.0,3450,2014800.0,1,1,29.084070973498303,20.915929026501697
71,fixed_calibrated,6083,3309,2774,608.3,23278,6229740.0,870,87.0,3525,2067000.0,1,5,29.084070973498303,20.915929026501697
72,fixed_calibrated,6328,3460,2868,632.8,23605,6609420.0,868,86.8,3585,2119080.0,1,4,29.084070973498303,20.915929026501697
73,fixed_calibrated,6495,3547,2948,649.5,23951,6999120.0,924,92.4,3600,2174520.0,1,1,29.084070973498303,20.915929026501697
74,fixed_calibrated,6720,3666,3054,672.0,24270,7402320.0,898,89.8,3675,2228400.0,1,5,29.084070973498303,20.915929026501697
75,fixed_calibrated,6925,3788,3137,692.5,24597,7817820.0,893,89.3,3735,2281980.0,1,4,29.084070973498303,20.915929026501697
76,fixed_calibrated,6954,3807,3147,695.4,24943,8235060.0,932,93.2,3750,2337900.0,1,1,29.084070973498303,20.915929026501697
77,fixed_calibrated,6995,3819,3176,699.5,25262,8654760.0,908,90.8,3825,2392380.0,1,5,29.084070973498303,20.915929026501697
78,fixed_calibrated,7037,3835,3202,703.7,25589,9076980.0,902,90.2,3885,2446500.0,1,4,29.084070973498303,20.915929026501697
