time_step,controller,total_queue,ns_queue,ew_queue,avg_queue_per_intersection,throughput,total_wait_time_seconds,pedestrian_queue,avg_pedestrian_queue_per_intersection,pedestrian_throughput,pedestrian_wait_seconds,pedestrian_phase_active,pedestrian_active_intersections,avg_ns_green,allow_actuated_reallocation,avg_ew_green,emergency_active,emergency_preemption_active,emergency_current_intersection,emergency_delay_seconds,emergency_preemptions,pedestrian_max_estimated_wait_seconds,pedestrian_target_wait_seconds
52,scipy_mpc,1857,852,1005,185.7,17387,1000860.0,263,26.3,2947,527460.0,0,0,31.755274519037776,1,18.244725480962213,0,0,-1,0.0,0,240.0,180
53,scipy_mpc,2028,937,1091,202.8,17749,1122540.0,320,32.0,2947,546660.0,0,0,31.540881398020503,1,18.4591186019795,0,0,-1,0.0,0,300.0,180
54,scipy_mpc,2229,1019,1210,222.9,18039,1256280.0,26,2.6,3303,548220.0,1,10,32.45205989026992,1,17.547940109730074,0,0,-1,0.0,0,0.0,180
55,scipy_mpc,2467,1138,1329,246.7,18401,1404300.0,76,7.6,3303,552780.0,0,0,32.176272932765535,1,17.823727067234472,0,0,-1,0.0,0,60.0,180
56,scipy_mpc,2642,1222,1420,264.2,18753,1562820.0,138,13.8,3303,561060.0,0,0,29.28641902677988,1,20.713580973220118,0,0,-1,0.0,0,120.0,180
57,scipy_mpc,2811,1296,1515,281.1,19109,1731480.0,205,20.5,3303,573360.0,0,0,28.42444729661119,1,21.575552703388812,0,0,-1,0.0,0,180.0,180
58,scipy_mpc,2989,1377,1612,298.9,19467,1910820.0,269,26.9,3303,589500.0,0,0,29.82808119623622,1,20.17191880376378,0,0,-1,0.0,0,240.0,180
59,scipy_mpc,3168,1467,1701,316.8,19826,2100900.0,333,33.3,3303,609480.0,0,0,33.76048063746741,1,16.239519362532594,0,0,-1,0.0,0,300.0,180
60,scipy_mpc,3442,1599,1843,344.2,20108,2307420.0,34,3.4,3662,611520.0,1,10,31.796584144411707,1,18.20341585558829,0,0,-1,0.0,0,0.0,180
61,scipy_mpc,3614,1677,1937,361.4,20465,2524260.0,100,10.0,3662,617520.0,0,0,31.713518674242987,1,18.286481325757006,0,0,-1,0.0,0,60.0,180
62,scipy_mpc,3818,1776,2042,381.8,20825,2753340.0,168,16.8,3662,627600.0,0,0,32.424580048977774,1,17.57541995102223,0,0,-1,0.0,0,120.0,180
63,scipy_mpc,4006,1866,2140,400.6,21183,2993700.0,236,23.6,3662,641760.0,0,0,32.66949557691828,1,17.33050442308172,0,0,-1,0.0,0,180.0,180
64,scipy_mpc,4178,1949,2229,417.8,21540,3244380.0,294,29.4,3662,659400.0,0,0,30.705040358430654,1,19.294959641569346,0,0,-1,0.0,0,240.0,180
65,scipy_mpc,4304,2014,2290,430.4,21899,3502620.0,342,34.2,3662,679920.0,0,0,30.258293883493526,1,19.74170611650647,0,0,-1,0.0,0,300.0,180
66,scipy_mpc,4535,2119,2416,453.5,22183,3774720.0,44,4.4,4025,682560.0,1,10,29.603385464883026,1,20.39661453511697,0,0,-1,0.0,0,0.0,180
67,scipy_mpc,4706,2207,2499,470.6,22538,4057080.0,97,9.7,4025,688380.0,0,0,29.728201455802967,1,20.271798544197033,0,0,-1,0.0,0,60.0,180
68,scipy_mpc,4865,2281,2584,486.5,22893,4348980.0,169,16.9,4025,698520.0,0,0,29.235346251851457,1,20.76465374814854,0,0,-1,0.0,0,120.0,180
69,scipy_mpc,5013,2352,2661,501.3,23255,4649760.0,226,22.6,4025,712080.0,0,0,30.61831946243483,1,19.381680537565167,0,0,-1,0.0,0,180.0,180
70,scipy_mpc,5224,2449,2775,522.4,23617,4963200.0,285,28.5,4025,729180.0,0,0,30.948820931255945,1,19.051179068744048,0,0,-1,0.0,0,240.0,180
71,scipy_mpc,5383,2518,2865,538.3,23978,5286180.0,370,37.0,4025,751380.0,0,0,32.33339154358078,1,17.66660845641922,0,0,-1,0.0,0,300.0,180
72,scipy_mpc,5667,2663,3004,566.7,24266,5626200.0,48,4.8,4405,754260.0,1,10,33.06834366703274,1,16.931656332967265,0,0,-1,0.0,0,0.0,180
73,scipy_mpc,5825,2733,3092,582.5,24621,5975700.0,119,11.9,4405,761400.0,0,0,30.696782824183725,1,19.303217175816272,0,0,-1,0.0,0,60.0,180
74,scipy_mpc,6008,2817,3191,600.8,24982,6336180.0,168,16.8,4405,771480.0,0,0,31.155365020231915,1,18.844634979768088,0,0,-1,0.0,0,120.0,180
75,scipy_mpc,6182,2916,3266,618.2,25340,6707100.0,223,22.3,4405,784860.0,0,0,30.08060363535126,1,19.91939636464874,0,0,-1,0.0,0,180.0,180
76,scipy_mpc,6201,2934,3267,620.1,25696,7079160.0,277,27.7,4405,801480.0,0,0,28.502960051292586,1,21.497039948707414,0,0,-1,0.0,0,240.0,180
77,scipy_mpc,6206,2932,3274,620.6,26051,7451520.0,328,32.8,4405,821160.0,0,0,28.53404109604646,1,21.46595890395354,0,0,-1,0.0,0,300.0,180
78,scipy_mpc,6291,2980,3311,629.1,26335,7828980.0,29,2.9,4758,822900.0,1,10,27.66546281929543,1,22.334537180704572,0,0,-1,0.0,0,0.0,180
79,scipy_mpc,6292,2973,3319,629.2,26692,8206500.0,80,8.0,4758,827700.0,0,0,27.733729013213843,1,22.26627098678616,0,0,-1,0.0,0,60.0,180
80,scipy_mpc,6307,2981,3326,630.7,27047,8584920.0,148,14.8,4758,836580.0,0,0,27.936332056370127,1,22.063667943629873,0,0,-1,0.0,0,120.0,180
